"25 - 29세","무학",38,65,41,66,34,56,24,45,23,45,17,28,12,34,14,45,26,53,21,44,17,37
"25 - 29세","초등학교",153,256,198,230,162,224,127,246,140,186,117,171,82,140,168,249,90,143,68,92,45,69
"25 - 29세","중고등학교",25848,33997,24572,31028,22212,26991,20006,23354,17386,19566,16832,18319,15285,16032,14932,15109,14616,14435,13553,13071,12824,11439
"25 - 29세","중학교",1285,1938,1096,1693,1129,1558,964,1488,795,1230,704,1124,618,1021,690,1104,624,995,522,817,475,619
"25 - 29세","고등학교",24563,32059,23476,29335,21083,25433,19042,21866,16591,18336,16128,17195,14667,15011,14242,14005,13992,13440,13031,12254,12349,10820
"25 - 29세","대학이상",70106,110764,68550,109995,61511,104018,58023,100271,51599,90659,49453,89563,44226,81863,40252,75012,38388,71926,34262,64223,30803,57701
"25 - 29세","대학(교)",65125,102885,63512,101819,56759,95879,53448,92274,47699,83543,45549,82603,40957,75873,37270,69511,35419,66629,31675,59490,28571,53637
"25 - 29세","대학원 이상",4981,7879,5038,8176,4752,8139,4575,7997,3900,7116,3904,6960,3269,5990,2982,5501,2969,5297,2587,4733,2232,4064
"25 - 29세","미상",688,1158,252,482,286,520,312,570,684,1251,688,1206,1134,2206,1791,3282,2092,3877,2399,4245,3017,4995
"30 - 34세","총계",116190,80234,123390,89898,129853,98061,132526,102351,123764,97732,121185,96085,109391,87774,98117,79861,92844,77094,83232,71431,77239,66278
"30 - 34세","무학",45,44,52,69,56,47,46,29,52,55,33,21,25,25,19,28,60,58,44,69,35,46
"30 - 34세","초등학교",181,240,194,190,166,169,175,180,161,177,148,174,149,178,215,236,123,192,97,151,66,115
"30 - 34세","중고등학교",26515,22163,26868,22735,27932,23281,27691,22444,25008,20114,23474,18589,20542,16287,18609,14277,16781,12543,14288,10729,12655,8850
"30 - 34세","중학교",1060,1346,1075,1179,1157,1209,1202,1111,1142,1008,962,890,872,915,979,987,777,933,560,816,477,597
"30 - 34세","고등학교",25455,20817,25793,21556,26775,22072,26489,21333,23866,19106,22512,17699,19670,15372,17630,13290,16004,11610,13728,9913,12178,8253
"30 - 34세","대학이상",88503,56923,95923,66522,101198,74050,104015,79097,97105,76042,96124,75996,86045,68803,75596,61854,71489,59985,63988,55798,58556,51491
